# 20 best cf ips scanned at 2026-09-18 06:25
172.64.229.116:443#JP 🇯🇵
172.64.155.42:443#SG 🇸🇬
172.64.147.234:443#SG 🇸🇬
172.64.146.187:443#SG 🇸🇬
172.64.154.173:443#SG 🇸🇬
172.64.153.154:443#SG 🇸🇬
172.64.159.196:443#SG 🇸🇬
172.64.151.66:443#SG 🇸🇬
172.64.144.52:443#SG 🇸🇬
172.64.152.145:443#SG 🇸🇬
104.18.34.192:443#SG 🇸🇬
172.64.158.42:443#SG 🇸🇬
172.64.157.104:443#SG 🇸🇬
172.64.150.131:443#SG 🇸🇬
104.18.44.241:443#SG 🇸🇬
172.64.149.13:443#SG 🇸🇬
172.64.156.92:443#SG 🇸🇬
8.39.125.27:443#SG 🇸🇬
172.64.148.189:443#SG 🇸🇬
172.64.145.165:443#SG 🇸🇬
