# 20 cfip updated at 2026-09-11 03:39
172.64.229.33:443#JP 🇯🇵
172.64.159.179:443#SG 🇸🇬
172.64.155.217:443#SG 🇸🇬
172.64.148.3:443#SG 🇸🇬
104.18.33.193:443#SG 🇸🇬
104.18.35.173:443#SG 🇸🇬
172.64.151.154:443#SG 🇸🇬
172.64.144.229:443#SG 🇸🇬
172.64.148.133:443#SG 🇸🇬
104.18.41.6:443#SG 🇸🇬
104.18.32.35:443#SG 🇸🇬
104.18.37.72:443#SG 🇸🇬
104.18.35.28:443#SG 🇸🇬
172.64.154.163:443#SG 🇸🇬
104.18.43.73:443#SG 🇸🇬
172.64.158.226:443#SG 🇸🇬
104.18.44.216:443#SG 🇸🇬
172.64.145.110:443#SG 🇸🇬
172.64.150.24:443#SG 🇸🇬
172.64.158.26:443#SG 🇸🇬
